,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
0,b'24.849',b'31.79',b'5.01',2021-08-28,21:42:37
1,b'31.924',b'27.73',b'8.72',2021-08-28,21:43:03
2,b'21.94',b'37.42',b'9.86',2021-08-28,21:43:27
3,b'30.006',b'25.00',b'8.22',2021-08-28,21:43:51
4,b'26.009',b'40.79',b'10.45',2021-08-28,21:44:17
5,b'23.503',b'39.39',b'9.90',2021-08-28,21:44:40
6,b'23.912',b'41.64',b'10.34',2021-08-28,21:45:03
7,b'26.458',b'41.45',b'10.45',2021-08-28,21:45:27
8,b'32.969',b'35.24',b'9.24',2021-08-28,21:45:51
9,b'23.863',b'38.61',b'9.60',2021-08-28,21:46:14
10,b'24.196',b'35.65',b'10.91',2021-08-28,21:46:37
11,b'24.246',b'41.81',b'9.60',2021-08-28,21:47:00
12,b'24.153',b'35.08',b'10.64',2021-08-28,21:47:23
13,b'24.263',b'38.93',b'9.92',2021-08-28,21:47:46
14,b'26.071',b'28.47',b'10.74',2021-08-28,21:48:10
15,b'21.047',b'28.40',b'10.92',2021-08-28,21:48:35
16,b'26.14',b'37.20',b'9.29',2021-08-28,21:48:58
17,b'31.434',b'24.03',b'12.08',2021-08-28,21:49:22
18,b'26.288',b'41.91',b'10.41',2021-08-28,21:49:45
19,b'21.51',b'34.48',b'9.76',2021-08-28,21:50:08
20,b'18.64',b'35.78',b'9.25',2021-08-28,21:50:32
21,b'24.262',b'37.56',b'10.28',2021-08-28,21:50:55
22,b'22.312',b'32.75',b'8.25',2021-08-28,21:51:18
23,b'23.771',b'28.85',b'8.95',2021-08-28,21:51:43
24,b'22.585',b'22.45',b'8.23',2021-08-28,21:52:05
25,b'18.789',b'14.30',b'2.46',2021-08-28,21:52:29
26,,,,,
27,b'22.044',b'5.30',b'0.63',2021-08-28,21:53:12
28,,,,,
29,b'29.628',b'17.98',b'3.72',2021-08-28,21:54:10
30,b'43.949',b'30.79',b'9.56',2021-08-28,21:54:34
31,b'19.19',b'26.83',b'9.04',2021-08-28,21:54:59
32,b'23.237',b'24.05',b'11.01',2021-08-28,21:55:23
33,b'23.81',b'33.08',b'10.20',2021-08-28,21:55:48
34,b'23.726',b'42.60',b'9.95',2021-08-28,21:56:11
35,b'21.627',b'37.16',b'10.13',2021-08-28,21:56:36
36,b'25.547',b'14.57',b'10.73',2021-08-28,21:57:02
37,b'22.198',b'14.66',b'10.21',2021-08-28,21:57:25
38,b'23.755',b'31.21',b'9.64',2021-08-28,21:57:48
39,b'14.469',b'35.67',b'9.71',2021-08-28,21:58:12
40,b'23.079',b'34.64',b'9.64',2021-08-28,21:58:36
41,b'23.786',b'29.83',b'10.54',2021-08-28,21:59:00
42,b'22.878',b'41.29',b'9.16',2021-08-28,21:59:23
43,b'24.16',b'32.31',b'10.05',2021-08-28,21:59:46
44,,,,,
45,,,,,
46,b'29.34',b'27.87',b'9.69',2021-08-28,22:00:15
47,b'23.955',b'32.86',b'10.14',2021-08-28,22:00:38
48,b'22.461',b'26.35',b'11.56',2021-08-28,22:01:02
49,b'20.456',b'38.36',b'10.30',2021-08-28,22:01:25
50,b'22.059',b'29.05',b'9.86',2021-08-28,22:01:50
51,b'24.376',b'38.21',b'10.44',2021-08-28,22:02:13
52,b'23.933',b'32.42',b'10.66',2021-08-28,22:02:36
53,b'23.865',b'27.23',b'9.36',2021-08-28,22:02:59
54,b'26.797',b'34.14',b'9.85',2021-08-28,22:03:23
55,b'23.987',b'40.70',b'9.72',2021-08-28,22:03:46
56,b'21.695',b'31.89',b'9.71',2021-08-28,22:04:09
57,b'25.761',b'39.67',b'9.45',2021-08-28,22:04:32
58,b'24.728',b'39.92',b'10.66',2021-08-28,22:04:55
59,b'24.035',b'38.14',b'9.66',2021-08-28,22:05:18
60,b'23.893',b'40.42',b'8.34',2021-08-28,22:05:41
61,b'29.217',b'21.73',b'9.83',2021-08-28,22:06:05
62,b'28.032',b'28.32',b'11.03',2021-08-28,22:06:28
63,b'23.853',b'20.22',b'8.92',2021-08-28,22:06:52
64,b'25.668',b'31.62',b'9.74',2021-08-28,22:07:15
65,b'17.368',b'27.04',b'7.77',2021-08-28,22:07:38
66,b'23.698',b'27.80',b'9.20',2021-08-28,22:08:01
67,b'26.878',b'42.95',b'10.00',2021-08-28,22:08:24
68,b'18.455',b'44.84',b'9.58',2021-08-28,22:08:47
69,b'23.042',b'39.46',b'9.76',2021-08-28,22:09:10
70,b'36.792',b'34.25',b'10.87',2021-08-28,22:09:34
71,b'23.946',b'39.54',b'10.69',2021-08-28,22:09:58
72,b'30.988',b'33.20',b'9.54',2021-08-28,22:10:21
73,b'28.596',b'42.84',b'10.07',2021-08-28,22:10:45
74,b'23.817',b'36.52',b'10.41',2021-08-28,22:11:08
75,b'26.171',b'27.22',b'10.23',2021-08-28,22:11:32
76,b'27.331',b'25.81',b'10.23',2021-08-28,22:11:55
77,b'33.99',b'25.84',b'9.03',2021-08-28,22:12:19
78,b'23.907',b'26.41',b'11.12',2021-08-28,22:12:43
79,b'38.093',b'29.96',b'11.54',2021-08-28,22:13:05
80,b'19.215',b'42.65',b'10.61',2021-08-28,22:13:30
81,b'26.521',b'35.33',b'8.80',2021-08-28,22:13:53
82,b'20.844',b'33.33',b'10.31',2021-08-28,22:14:17
83,b'19.448',b'28.52',b'10.29',2021-08-28,22:14:39
84,b'24.026',b'44.82',b'9.85',2021-08-28,22:15:04
